topicId,rank,docId,filename
1,1,148,C:\mallet\CourtProceedings\1910_gr_l-5543.txt
1,2,165,C:\mallet\CourtProceedings\1910_gr_l-5601.txt
1,3,7,C:\mallet\CourtProceedings\1910_gr_5430.txt
1,4,222,C:\mallet\CourtProceedings\1910_gr_l-5897.txt
1,5,175,C:\mallet\CourtProceedings\1910_gr_l-5631.txt
1,6,166,C:\mallet\CourtProceedings\1910_gr_l-5603.txt
1,7,150,C:\mallet\CourtProceedings\1910_gr_l-5559.txt
1,8,81,C:\mallet\CourtProceedings\1910_gr_l-5222.txt
1,9,88,C:\mallet\CourtProceedings\1910_gr_l-5265.txt
1,10,63,C:\mallet\CourtProceedings\1910_gr_l-5097.txt
1,11,100,C:\mallet\CourtProceedings\1910_gr_l-5324.txt
1,12,78,C:\mallet\CourtProceedings\1910_gr_l-5197.txt
1,13,93,C:\mallet\CourtProceedings\1910_gr_l-5290.txt
1,14,26,C:\mallet\CourtProceedings\1910_gr_6000.txt
1,15,247,C:\mallet\CourtProceedings\1910_gr_l-6250.txt
1,16,28,C:\mallet\CourtProceedings\1910_gr_l-2352.txt
1,17,158,C:\mallet\CourtProceedings\1910_gr_l-5584.txt
1,18,46,C:\mallet\CourtProceedings\1910_gr_l-4901.txt
1,19,250,C:\mallet\CourtProceedings\1910_gr_l-6399.txt
1,20,56,C:\mallet\CourtProceedings\1910_gr_l-5022.txt
1,21,232,C:\mallet\CourtProceedings\1910_gr_l-6013.txt
1,22,30,C:\mallet\CourtProceedings\1910_gr_l-3821.txt
1,23,116,C:\mallet\CourtProceedings\1910_gr_l-5439.txt
1,24,60,C:\mallet\CourtProceedings\1910_gr_l-5060.txt
1,25,197,C:\mallet\CourtProceedings\1910_gr_l-5715.txt
1,26,95,C:\mallet\CourtProceedings\1910_gr_l-5304.txt
1,27,44,C:\mallet\CourtProceedings\1910_gr_l-4811.txt
1,28,83,C:\mallet\CourtProceedings\1910_gr_l-5242.txt
1,29,242,C:\mallet\CourtProceedings\1910_gr_l-6095.txt
1,30,203,C:\mallet\CourtProceedings\1910_gr_l-5770.txt
1,31,67,C:\mallet\CourtProceedings\1910_gr_l-5141.txt
1,32,189,C:\mallet\CourtProceedings\1910_gr_l-5684.txt
1,33,206,C:\mallet\CourtProceedings\1910_gr_l-5786.txt
1,34,72,C:\mallet\CourtProceedings\1910_gr_l-5161.txt
1,35,64,C:\mallet\CourtProceedings\1910_gr_l-5112.txt
1,36,27,C:\mallet\CourtProceedings\1910_gr_l-2308.txt
1,37,149,C:\mallet\CourtProceedings\1910_gr_l-5553.txt
1,38,138,C:\mallet\CourtProceedings\1910_gr_l-5509.txt
1,39,178,C:\mallet\CourtProceedings\1910_gr_l-5642.txt
1,40,51,C:\mallet\CourtProceedings\1910_gr_l-4977.txt
1,41,37,C:\mallet\CourtProceedings\1910_gr_l-4479.txt
1,42,108,C:\mallet\CourtProceedings\1910_gr_l-5390.txt
1,43,161,C:\mallet\CourtProceedings\1910_gr_l-5593.txt
1,44,91,C:\mallet\CourtProceedings\1910_gr_l-5272.txt
1,45,164,C:\mallet\CourtProceedings\1910_gr_l-5599.txt
1,46,143,C:\mallet\CourtProceedings\1910_gr_l-5525.txt
1,47,122,C:\mallet\CourtProceedings\1910_gr_l-5461.txt
1,48,225,C:\mallet\CourtProceedings\1910_gr_l-5925.txt
1,49,228,C:\mallet\CourtProceedings\1910_gr_l-5965.txt
1,50,193,C:\mallet\CourtProceedings\1910_gr_l-5696.txt
1,51,156,C:\mallet\CourtProceedings\1910_gr_l-5580.txt
1,52,144,C:\mallet\CourtProceedings\1910_gr_l-5527.txt
1,53,90,C:\mallet\CourtProceedings\1910_gr_l-5270.txt
1,54,22,C:\mallet\CourtProceedings\1910_gr_5849.txt
1,55,243,C:\mallet\CourtProceedings\1910_gr_l-6157.txt
1,56,157,C:\mallet\CourtProceedings\1910_gr_l-5583.txt
1,57,42,C:\mallet\CourtProceedings\1910_gr_l-4713.txt
1,58,136,C:\mallet\CourtProceedings\1910_gr_l-5502.txt
1,59,230,C:\mallet\CourtProceedings\1910_gr_l-5985.txt
1,60,9,C:\mallet\CourtProceedings\1910_gr_5610.txt
1,61,5,C:\mallet\CourtProceedings\1910_gr_5343.txt
1,62,6,C:\mallet\CourtProceedings\1910_gr_5411.txt
1,63,198,C:\mallet\CourtProceedings\1910_gr_l-5720.txt
1,64,40,C:\mallet\CourtProceedings\1910_gr_l-4614.txt
1,65,115,C:\mallet\CourtProceedings\1910_gr_l-5426.txt
1,66,133,C:\mallet\CourtProceedings\1910_gr_l-5487.txt
1,67,103,C:\mallet\CourtProceedings\1910_gr_l-5335.txt
1,68,212,C:\mallet\CourtProceedings\1910_gr_l-5810.txt
1,69,190,C:\mallet\CourtProceedings\1910_gr_l-5691.txt
1,70,4,C:\mallet\CourtProceedings\1910_gr_5246.txt
1,71,163,C:\mallet\CourtProceedings\1910_gr_l-5597.txt
1,72,146,C:\mallet\CourtProceedings\1910_gr_l-5533.txt
1,73,185,C:\mallet\CourtProceedings\1910_gr_l-5673.txt
1,74,110,C:\mallet\CourtProceedings\1910_gr_l-5398.txt
1,75,101,C:\mallet\CourtProceedings\1910_gr_l-5325.txt
1,76,249,C:\mallet\CourtProceedings\1910_gr_l-6259.txt
1,77,221,C:\mallet\CourtProceedings\1910_gr_l-5887.txt
1,78,204,C:\mallet\CourtProceedings\1910_gr_l-5775.txt
1,79,235,C:\mallet\CourtProceedings\1910_gr_l-6069.txt
1,80,155,C:\mallet\CourtProceedings\1910_gr_l-5577.txt
1,81,12,C:\mallet\CourtProceedings\1910_gr_5730.txt
1,82,171,C:\mallet\CourtProceedings\1910_gr_l-5624.txt
1,83,173,C:\mallet\CourtProceedings\1910_gr_l-5628.txt
1,84,123,C:\mallet\CourtProceedings\1910_gr_l-5464.txt
1,85,45,C:\mallet\CourtProceedings\1910_gr_l-4863.txt
1,86,14,C:\mallet\CourtProceedings\1910_gr_5751.txt
1,87,227,C:\mallet\CourtProceedings\1910_gr_l-5962.txt
1,88,195,C:\mallet\CourtProceedings\1910_gr_l-5708.txt
1,89,119,C:\mallet\CourtProceedings\1910_gr_l-5449.txt
1,90,231,C:\mallet\CourtProceedings\1910_gr_l-5994.txt
1,91,167,C:\mallet\CourtProceedings\1910_gr_l-5606.txt
1,92,147,C:\mallet\CourtProceedings\1910_gr_l-5535.txt
1,93,105,C:\mallet\CourtProceedings\1910_gr_l-5356.txt
