topicId,words..
1,municipal municipality court province provincial pueblo paragraph building board house
2,accused crime witness testimony defendant house time testified penal witnesses
3,plaintiff judgment defendant sum estate court interest property pay complaint
4,court defendant trial manila accused law opium attorney complaint criminal
5,court action plaintiff law question judgment cases party order civil
6,act land section registration law philippine public lands islands title
7,land property possession sale owner made instrument sold plaintiffs article
8,defendant house deceased found evidence fact left trial de appellant
9,government act united states islands power general state case governor
10,case court law appellant made fact evidence presented time appeal
