User,User Age,User Barangay,User Gender,Responses
admin,12,ad,M,Hold drill exercises so that people would know what to do in times of disasters.
admin,12,ad,M,"Group text message, Social Media at Local News Announcement (specific barangay per city)"
admin,12,ad,M,Ensure that the water ways are clean and there are water pumps available.
admin,12,ad,M,It would help for the barangay to distribute pamphlets containing emergency hotline numbers.
admin,12,ad,M,More effective disaster drills and seminars for every part of the barangay so that the community will be more prepared.
admin,12,ad,M,The barangay should give relief goods when needed and they should announce if it is time for us to evacuate our homes.
admin,12,ad,M,We will be better prepared if the barangay will hold a disaster drill and if there will be a unified text messaging system where we will be better informed and updated about the typhoon or flood situation; like which areas will be flooded and which areas are safe for evacuation.
admin,12,ad,M,"Public address system, continuing education and training on disaster management"
admin,12,ad,M,"The barangay sounds the siren and texts the area leaders, and the barangay wardens road around."
admin,12,ad,M,Continuous repair of the river to make it deeper; help mend broken houses; provide relief goods in an orderly fashion.
28,22,Banaba,M,Conduct free workshops for swimming lessons
72,22,Banaba,F,Always review disaster drill with the kids.
72,22,Banaba,F,Review the disaster drill with the kids
79,-1,Banaba,F,The baranggay should have a SMS blast announcement
95,50,412,M,magkaisa dapat ang mga tao
102,13,LGV,F,Mag-exercise tayo tuwing umaga.
106,66,412,F,Magkaroon ng komunikasyon kung saan magkikita sa panahon ng kalamaidad.
104,22,412,F,mag karoon ng pagkakaiisa upang sa mga darating na mga sakuna ay malalagpasan.
105,56,412,F,"paglilinis ng kanal, wastong pagtatapon ng basura at kailangan mag ikot ikot ang mga tanod upang bantayan mga gamit ng tao"
107,61,Barangay 412,F,Malawakang information drive
109,21,412,F,"bago dumating ang bagyo, magkaroon ng early warning system para mas maging handa ang mga tao."
110,35,412,F,Magkaroon ng early warning upang maging handa ang mga tao sa darating na bagyo.
112,40,412,M,Higit na pagtibayin ang early warning system device. Magkaroon ng maintenance quarterly para masigurong maayos ito bago dumating ang isang kalamidad.
111,31,412,F,lalo pang lumawat at lumago ang pagmamalasakit sa aming ka-barangay.
114,41,412,M,Pagkakaroon ng early warning device.
113,39,Barangay 412,F,Pagsunod sa sinasabi sa kung ano ang dapat gawin. Paghandaan ang lahat ng bibitbitin sa tuwing may sakuna.
115,40,412,F,Pagbibigay ng relief goods sa panahon ng kalamidad.
117,21,412,F,nais ko po sana magkaroon pa po ngmga ibat ibang paraan upang lalo pang maging handa ang aming mga kapitbahay po.
119,28,412,M,Siguruhing magkaroon ng mga basurahan sa buong barangay dahil ito ang pangunahing sanhi ng kalamidad.
118,22,Barangay 412,F,Seminar tungkol sa bagyo at lindol para mapaghandaan.
121,21,412,M,Bawat pamilya ay dapat nagkakaisa.
120,38,412,F,Maging handa sa ano mang dumating na bagyo/baha sa komunidad sa ating bansa.
116,80,412,F,"maging alerto lagi sa mga di inaasahang bagay, magtulong tulong opisyal man o hindi ng brgy. magkaisa ang lahat. maging totoo ang bawat isa sa kanilang tungkulin"
122,52,412,F,Magkaroon ng komunikasyon at ikutin ng mga council members para makita ang sitwasyon ng barangay sa tuwing may kalamidad.
124,43,412,F,Tumulong sa mga karatig bahay at magbigay ng naitabing pagkain sa mga napinsala ng bagyo.
125,39,412,M,maayos at malinaw na pagpaplano bilang paghahanda sa kalamidad.
123,68,Barangay 412,F,Maagang paghahanda bago dumating ang sakuna.
126,44,412,F,Maging alerto at maging handa. Magdasal.
127,64,412,M,Dapat ang barangay ay sanayin ang mga naninirahan sa kanilang lugar tungkol sa DRRM na may sapat na pangangailangan sa pagsapit ng bagyo/baha.
129,42,412,F,Magkaroon ng maayos na komunikasyon gaya ng paggamit ng Public Address System para mabilis ang pagpaparating ng inpormasyon.
128,35,412,M,mabuti ang aming barangay at nakatutulong sa amin pag may problema. Dapat mas maging active pa ang ibang opisyal ng barangay kung maari 100% performance na maipaabot ang serbisyo sa mga tao.
130,43,Barangay 412,M,Bahay-bahay na pag-inform tungkol sa sakuna.
132,38,412,M,Mabilis na pagiinform ng Chairman upang mabilis na mapalaganap ang inpormasyon sa aking mga ka-barangay.
134,18,Barangay 412,M,"Dapat may pakiki-isa sa barangay para kapag may sakunang dumating, mas makakahanda sa anumang kalamidad na darating."
133,18,412,M,mapabilis ang paglilinis ng kanal at ilog.
136,20,412,F,magkaroon nang seminars about sa paghahanda upang ang mga mamamayan ay magkaroon ng kaalaman kung paano natin mapaglalaban kung ano mang sakuna ang dumating.
137,35,412,F,Awareness and preparedness before and after the calamity.
138,20,412,M,Dapa magkaroon ng tamang participation ang bawat isa
139,22,412,M,ihanda ang lahat ng pweding magamit bilang comunicasion sa isat isa
141,34,412,M,Kaylangan maging aware sa mga balita at kaylangan panatilihing malinis ang mga kanal upang maiwasan ang pagbaha.
140,53,412,M,Dapat makiisa ang komunidad sa barangay para mas maraming matulungan.
142,48,412,M,magkaroon ng sapat na medical kit at flashlight bilang paghahanda sa disaster.
143,21,412,F,pagkakaisa at pagtutulungan ng isat isa para lahat ay maging handa sa darating na kalamidad
156,72,409,M,pagsabihan at bigyan ng importanteng kaalaman ang mga barangay na nasasakupan upang maging handa sa anumang kalamidad na darating.
158,36,409,F,Maglagay ng garbage can kada kanto ng barangay.
161,51,409,M,Pagtulong sa mga nagkakaroon ng pagbaha sa mga mababang lugar.
166,35,409,F,Magbigay ng seminar upang maging handa ang mga tao sa darating na kalamidad.
164,63,409,M,paglilinis ng kanal at pagtanggal ng basura para maiwasan ang pagbabaha.
159,76,Barangay 409,F,Ayusin ang drainage ng barangay.
168,38,409,F,Tumulong ang mga hindi masyadong naapektuhan ng bagyo.
165,51,409,M,"Panatilihin ang kalinisan gaya ng mga nakabara sa kanal gaya ng ""clean-up drive"" para mabawasan ang pagbaha."
169,77,409,M,magkaroon ang mga tao ng malinaw na koordinasyon sa barangay.
172,18,409,F,Bago man dumating ang dilubyo/bagyo nakahanda na dapat ang mga gamit para sa bagyo katulad ng bangka para sa paglikas ng mga tao sa mataas na lugar.
173,42,Barangay 409,F,Araw-araw na maglinis ng kanal. Tanggalin ang mga basura at kailangan maging handa sa mga sakuna.
174,62,409,F,Magbigay ng seminar tungkol sa disaster preparedness at maglinis ng mga kanal at harap ng bahay.
175,65,409,F,tutulong lahat at magkaisa bilang paghahanda sa bagyo.
171,63,409,M,Makiisa ang komunidad sa  mga aktibidades ng barangay.
177,36,409,M,Kaylangan maghanda ang mga mamamayan bago pa dumating ang kalamidad.
179,34,409,F,Magkaisa. Magtulong-tulong. Linisan ang paligid.
